mac_fill,flood_pressure,avg_age
0.6,0.577,57.83
0.6,0.579,60.83
0.6,0.583,63.83
0.6,0.585,66.83
0.6,0.589,69.83
0.6,0.594,72.83
0.6,0.598,75.83
0.6,0.6,78.83
0.6,0.604,81.83
0.6,0.606,84.83
0.6,0.61,87.83
0.6,0.612,90.83
0.6,0.616,93.83
0.6,0.618,96.83
0.6,0.622,99.83
0.6,0.627,102.83
0.6,0.631,106.83
0.6,0.633,109.83
0.6,0.637,112.83
0.6,0.639,115.83
0.6,0.643,118.83
0.6,0.645,121.83
0.6,0.649,124.83
0.6,0.651,127.83
0.6,0.655,130.83
0.6,0.66,133.83
0.6,0.664,136.83
0.6,0.666,139.83
0.6,0.67,142.83
0.6,0.672,145.83
0.6,0.676,148.83
0.6,0.678,151.83
0.6,0.682,154.83
0.6,0.684,157.83
0.6,0.691,160.83
0.6,0.693,163.83
0.6,0.697,166.83
0.6,0.701,169.83
0.6,0.703,172.83
0.6,0.707,175.83
0.6,0.709,178.83
0.6,0.713,181.83
0.6,0.715,184.83
0.6,0.719,187.83
0.6,0.726,172.0
0.6,0.73,175.0
0.6,0.732,178.0
0.6,0.736,181.0
0.6,0.738,184.0
0.6,0.742,187.0
0.6,0.744,190.0
0.6,0.748,193.0
0.6,0.75,196.0
0.6,0.752,199.0
0.6,0.759,203.0
0.6,0.765,165.33
0.6,0.769,168.33
0.6,0.771,171.33
0.6,0.775,174.33
0.6,0.779,177.33
0.6,0.781,180.33
0.6,0.787,141.17
0.6,0.789,144.17
0.6,0.793,147.17
0.6,0.798,150.17
0.6,0.802,153.17
0.6,0.806,134.33
0.6,0.81,137.33
0.6,0.812,140.33
0.6,0.816,143.33
0.6,0.818,146.33
0.6,0.825,127.42
0.6,0.827,130.42
0.6,0.831,133.42
0.6,0.836,136.42
0.6,0.84,139.42
0.6,0.842,143.42
0.6,0.85,99.92
0.6,0.852,102.92
0.6,0.856,105.92
0.6,0.858,108.92
0.6,0.862,111.92
0.6,0.864,114.92
0.6,0.868,117.92
0.6,0.873,120.92
0.6,0.877,123.92
0.6,0.881,126.92
0.6,0.89,56.17
0.6,0.894,59.17
0.6,0.896,62.17
0.6,0.9,65.17
0.6,0.902,68.17
0.6,0.904,71.17
0.6,0.908,74.17
0.6,0.913,77.17
0.6,0.917,80.17
0.6,0.919,83.17
0.6,0.923,86.17
0.6,0.925,89.17
0.6,0.929,92.17
0.6,0.931,95.17
0.6,0.935,98.17
0.6,0.937,101.17
0.6,0.941,104.17
0.6,0.946,107.17
0.6,0.95,110.17
0.6,0.952,113.17
0.6,0.956,116.17
0.6,0.96,119.17
0.6,0.962,122.17
0.6,0.966,125.17
0.6,0.968,129.17
0.6,0.972,132.17
0.6,0.974,135.17
0.6,0.981,138.17
0.6,0.983,141.17
0.6,0.987,144.17
0.6,0.989,147.17
0.6,0.993,150.17
0.6,0.995,153.17
0.6,0.999,156.17
0.6,1.001,159.17
0.6,1.005,162.17
0.6,1.007,165.17
0.6,1.014,168.17
0.6,1.016,171.17
0.6,1.02,174.17
0.6,1.022,177.17
0.6,1.026,180.17
0.6,1.028,183.17
0.6,1.032,186.17
0.6,1.034,189.17
0.6,1.038,192.17
0.6,1.04,195.17
0.6,1.047,198.17
0.6,1.049,201.17
0.6,1.053,204.17
0.6,1.055,207.17
0.6,1.059,210.17
0.6,1.061,213.17
0.6,1.065,216.17
0.6,1.067,219.17
0.6,1.071,222.17
0.55,1.076,218.36
0.55,1.078,221.36
0.55,1.082,224.36
0.55,1.084,227.36
0.55,1.088,230.36
0.55,1.09,233.36
0.55,1.094,236.36
0.55,1.096,239.36
0.55,1.1,242.36
0.55,1.102,245.36
0.55,1.109,248.36
0.45,1.111,240.33
0.45,1.115,243.33
0.45,1.117,246.33
0.45,1.121,249.33
0.45,1.123,253.33
0.35,1.127,243.86
0.35,1.129,246.86
0.35,1.133,249.86
0.35,1.135,252.86
0.35,1.142,255.86
0.35,1.144,258.86
0.3,1.146,255.17
0.3,1.15,258.17
0.3,1.152,261.17
0.3,1.156,264.17
0.3,1.158,267.17
0.25,1.162,264.2
0.25,1.164,267.2
0.25,1.168,270.2
0.25,1.173,273.2
0.25,1.177,276.2
0.25,1.179,279.2
0.15,1.181,269.0
0.15,1.185,272.0
0.15,1.187,275.0
0.15,1.191,278.0
0.15,1.193,281.0
0.15,1.197,284.0
0.15,1.199,287.0
0.15,1.206,290.0
0.15,1.208,293.0
0.2,1.214,222.25
0.2,1.218,225.25
0.05,1.22,7.0
0.05,1.222,10.0
0.05,1.226,13.0
0.05,1.228,16.0
0.05,1.232,19.0
0.05,1.234,22.0
0.05,1.241,25.0
0.05,1.243,28.0
0.05,1.247,31.0
0.05,1.249,34.0
0.05,1.253,37.0
0.05,1.255,40.0
0.05,1.259,43.0
0.05,1.261,46.0
0.05,1.265,49.0
0.05,1.267,52.0
0.05,1.274,55.0
0.05,1.276,58.0
0.05,1.28,61.0
0.05,1.282,65.0
0.05,1.286,68.0
0.05,1.288,71.0
0.05,1.292,74.0
0.05,1.294,77.0
0.05,1.298,80.0
0.05,1.302,83.0
0.05,1.307,86.0
0.05,1.311,89.0
0.05,1.313,92.0
0.05,1.317,95.0
0.05,1.319,98.0
0.1,1.324,52.0
0.1,1.326,55.0
0.1,1.33,58.0
0.1,1.332,61.0
0.1,1.336,64.0
0.2,1.345,34.5
0.2,1.349,37.5
0.2,1.351,40.5
0.2,1.355,43.5
0.2,1.357,46.5
0.25,1.363,39.6
0.25,1.365,42.6
0.25,1.369,45.6
0.25,1.371,48.6
0.25,1.375,51.6
0.25,1.38,54.6
0.3,1.385,48.33
0.3,1.387,51.33
0.3,1.391,54.33
0.3,1.393,57.33
0.3,1.397,60.33
0.3,1.399,63.33
0.3,1.403,66.33
0.3,1.405,69.33
0.3,1.409,72.33
0.3,1.414,75.33
0.3,1.418,78.33
0.3,1.42,81.33
0.3,1.424,84.33
0.3,1.426,87.33
0.3,1.43,90.33
0.3,1.432,93.33
0.35,1.439,82.71
0.35,1.441,85.71
0.35,1.445,89.71
0.35,1.45,92.71
0.35,1.454,95.71
0.35,1.456,98.71
0.4,1.461,89.38
0.4,1.463,92.38
0.4,1.467,95.38
0.4,1.469,98.38
0.4,1.473,101.38
0.45,1.478,93.0
0.45,1.482,96.0
0.45,1.487,99.0
0.45,1.491,102.0
0.45,1.493,105.0
0.5,1.499,97.3
0.5,1.501,100.3
0.5,1.505,103.3
0.5,1.507,106.3
0.5,1.511,109.3
0.5,1.513,112.3
0.5,1.517,115.3
0.5,1.524,118.3
0.5,1.526,121.3
0.5,1.53,124.3
0.5,1.532,127.3
0.55,1.538,118.55
0.55,1.54,121.55
0.55,1.544,124.55
0.55,1.546,127.55
0.55,1.55,130.55
0.55,1.552,133.55
0.55,1.56,136.55
0.5,1.562,123.5
0.5,1.564,126.5
0.5,1.568,129.5
0.5,1.57,132.5
0.55,1.576,123.27
0.55,1.578,126.27
0.55,1.582,129.27
0.55,1.584,132.27
0.55,1.588,135.27
0.55,1.593,138.27
0.55,1.597,141.27
0.55,1.599,144.27
0.55,1.603,148.27
0.55,1.605,151.27
0.55,1.609,154.27
0.55,1.611,157.27
0.55,1.615,160.27
0.55,1.617,163.27
0.55,1.624,166.27
0.55,1.626,169.27
0.55,1.63,172.27
0.55,1.632,175.27
0.55,1.636,178.27
0.55,1.638,181.27
0.55,1.642,184.27
0.55,1.644,187.27
0.55,1.648,190.27
0.55,1.65,193.27
0.55,1.657,196.27
0.55,1.659,199.27
0.55,1.663,202.27
0.55,1.665,205.27
0.55,1.669,208.27
0.5,1.671,202.2
0.5,1.675,205.2
0.5,1.677,208.2
0.5,1.681,211.2
0.5,1.683,214.2
0.4,1.69,196.25
0.4,1.692,199.25
0.4,1.696,202.25
0.4,1.698,205.25
0.4,1.702,208.25
0.4,1.704,211.25
0.35,1.706,201.71
0.35,1.71,204.71
0.35,1.712,207.71
0.35,1.716,210.71
0.35,1.721,213.71
0.3,1.725,202.67
0.3,1.727,205.67
0.3,1.731,208.67
0.3,1.733,211.67
0.3,1.737,214.67
0.3,1.739,217.67
0.3,1.741,220.67
0.3,1.745,223.67
0.3,1.747,226.67
0.3,1.754,229.67
0.3,1.756,232.67
0.3,1.76,236.67
0.3,1.762,239.67
0.3,1.766,242.67
0.3,1.77,245.67
0.3,1.772,248.67
0.25,1.776,241.8
0.25,1.778,244.8
0.25,1.78,247.8
0.25,1.787,250.8
0.25,1.789,253.8
0.25,1.793,256.8
0.2,1.795,249.25
0.2,1.799,252.25
0.2,1.801,255.25
0.2,1.805,258.25
0.2,1.807,261.25
0.15,1.809,252.0
0.15,1.813,255.0
0.15,1.818,258.0
0.15,1.822,261.0
0.15,1.824,264.0
0.1,1.828,250.5
0.1,1.83,253.5
0.1,1.834,256.5
0.1,1.836,259.5
0.1,1.84,262.5
0.1,1.842,265.5
0.1,1.846,268.5
0.1,1.851,271.5
0.1,1.855,274.5
0.1,1.857,277.5
0.1,1.861,280.5
0.05,1.863,267.0
0.05,1.867,270.0
0.05,1.869,273.0
0.05,1.873,276.0
0.05,1.875,279.0
0.05,1.879,282.0
0.05,1.884,285.0
0.05,1.888,288.0
0.05,1.89,291.0
0.05,1.894,294.0
0.05,1.896,297.0
0.0,1.898,0
0.0,1.902,0
0.0,1.906,0
0.0,1.908,0
0.0,1.912,0
0.0,1.917,0
0.0,1.921,0
0.0,1.923,0
0.0,1.927,0
0.0,1.929,0
0.0,1.933,0
0.0,1.935,0
0.0,1.939,0
0.0,1.941,0
0.0,1.945,0
0.0,1.95,0
0.0,1.954,0
0.0,1.956,0
0.0,1.96,0
0.0,1.962,0
0.0,1.966,0
0.0,1.968,0
0.0,1.972,0
0.0,1.974,0
0.0,1.978,0
0.0,1.983,0
0.0,1.987,0
0.0,1.989,0
0.0,1.993,0
0.0,1.995,0
0.0,1.999,0
0.0,2.001,0
0.0,2.005,0
0.0,2.007,0
0.0,2.011,0
0.0,2.016,0
0.0,2.02,0
0.0,2.022,0
0.0,2.026,0
0.0,2.028,0
0.0,2.032,0
0.0,2.034,0
0.0,2.038,0
0.0,2.04,0
0.0,2.044,0
0.0,2.049,0
0.0,2.053,0
0.0,2.055,0
0.25,1.447,28.4
0.25,1.449,32.4
0.25,1.453,35.4
0.25,1.455,38.4
0.25,1.459,41.4
0.25,1.461,44.4
0.3,1.468,39.83
0.4,1.474,32.88
0.4,1.478,35.88
0.5,1.489,31.7
0.6,1.496,29.25
0.6,1.5,26.83
0.6,1.504,29.83
0.6,1.508,27.0
0.6,1.512,30.0
0.6,1.515,27.0
0.6,1.519,30.0
0.6,1.523,26.83
0.6,1.528,23.17
0.6,1.533,26.17
0.6,1.537,29.17
0.6,1.539,32.17
0.6,1.543,35.17
0.6,1.545,38.17
0.6,1.549,41.17
0.6,1.551,44.17
0.6,1.555,47.17
0.6,1.557,50.17
0.6,1.561,53.17
0.6,1.568,56.17
0.6,1.57,59.17
0.6,1.572,62.17
0.6,1.576,65.17
0.6,1.578,68.17
0.6,1.582,71.17
0.6,1.584,74.17
0.6,1.588,78.17
0.6,1.59,81.17
0.6,1.594,84.17
0.6,1.599,87.17
0.6,1.603,90.17
0.6,1.605,93.17
0.6,1.611,96.17
0.6,1.613,89.92
0.6,1.617,92.92
0.6,1.62,95.92
0.6,1.624,98.92
0.6,1.63,91.67
0.6,1.638,84.25
0.6,1.643,87.25
0.6,1.645,90.25
0.6,1.651,82.83
0.6,1.653,85.83
0.6,1.657,88.83
0.6,1.661,81.0
0.6,1.665,84.0
0.6,1.667,87.0
0.6,1.676,53.83
0.6,1.681,56.83
0.6,1.685,59.83
0.6,1.687,62.83
0.6,1.691,65.83
0.6,1.695,56.42
0.6,1.699,59.42
0.6,1.703,62.42
0.6,1.705,65.42
0.6,1.707,69.42
0.6,1.714,46.42
0.6,1.719,49.42
0.6,1.723,52.42
0.6,1.725,55.42
0.6,1.729,58.42
0.6,1.731,61.42
0.6,1.736,50.58
0.6,1.738,53.58
0.6,1.742,56.58
0.6,1.744,59.58
0.6,1.748,62.58
0.6,1.753,65.58
0.6,1.757,68.58
0.6,1.759,71.58
0.6,1.763,74.58
0.6,1.765,77.58
0.6,1.769,80.58
0.6,1.773,83.58
0.6,1.775,86.58
0.6,1.779,89.58
0.6,1.781,92.58
0.6,1.788,95.58
0.6,1.79,98.58
0.6,1.794,101.58
0.6,1.796,104.58
0.6,1.8,107.58
0.6,1.802,110.58
0.6,1.806,113.58
0.6,1.808,116.58
0.6,1.812,119.58
0.6,1.814,122.58
0.6,1.821,125.58
0.6,1.823,128.58
0.6,1.827,132.58
0.6,1.829,135.58
0.6,1.833,138.58
0.6,1.835,141.58
0.6,1.839,144.58
0.6,1.841,147.58
0.6,1.845,150.58
0.6,1.847,153.58
0.6,1.854,156.58
0.6,1.856,159.58
0.6,1.86,162.58
0.6,1.862,165.58
0.6,1.866,168.58
0.6,1.868,171.58
0.6,1.872,174.58
0.6,1.874,177.58
0.6,1.88,162.0
0.6,1.882,165.0
0.6,1.889,168.0
0.6,1.891,171.0
0.6,1.895,174.0
0.6,1.897,177.0
0.6,1.901,180.0
0.6,1.903,183.0
0.6,1.907,186.0
0.6,1.909,189.0
0.6,1.913,192.0
0.6,1.917,195.0
0.6,1.924,198.0
0.6,1.926,201.0
0.6,1.93,204.0
0.6,1.932,207.0
0.6,1.939,188.5
0.6,1.943,191.5
0.6,1.945,194.5
0.6,1.949,197.5
0.6,1.951,201.5
0.6,1.953,204.5
0.6,1.966,141.92
0.6,1.968,144.92
0.6,1.972,147.92
0.6,1.974,150.92
0.6,1.978,153.92
0.6,1.984,113.25
0.6,1.988,116.25
0.6,1.99,119.25
0.6,1.994,122.25
0.6,1.999,125.25
0.6,2.003,128.25
0.6,2.006,108.08
0.6,2.01,111.08
0.6,2.012,114.08
0.6,2.016,117.08
0.6,2.018,120.08
0.6,2.024,99.83
0.6,2.026,102.83
0.6,2.03,105.83
0.6,2.035,108.83
0.6,2.039,111.83
0.6,2.043,114.83
0.6,2.045,118.83
0.6,2.049,121.83
0.6,2.051,124.83
0.6,2.055,127.83
0.6,2.057,130.83
0.6,2.064,84.67
0.6,2.066,87.67
0.6,2.073,90.67
0.6,2.075,93.67
0.6,2.079,96.67
0.6,2.081,99.67
0.6,2.085,102.67
0.55,2.087,87.82
0.55,2.091,90.82
0.55,2.093,93.82
0.55,2.097,96.82
0.6,2.1,91.75
0.6,2.107,94.75
0.6,2.109,97.75
0.6,2.113,100.75
0.6,2.115,103.75
0.6,2.119,106.75
0.6,2.121,109.75
0.6,2.125,112.75
0.6,2.127,115.75
0.6,2.131,118.75
0.6,2.133,121.75
0.6,2.14,124.75
0.6,2.142,127.75
0.6,2.146,130.75
0.6,2.148,133.75
0.6,2.152,136.75
0.6,2.154,139.75
0.6,2.158,142.75
0.6,2.16,145.75
0.6,2.164,148.75
0.6,2.166,151.75
0.6,2.173,154.75
0.6,2.175,157.75
0.6,2.179,161.75
0.6,2.181,164.75
0.6,2.185,167.75
0.6,2.187,170.75
0.6,2.191,173.75
0.6,2.193,176.75
0.6,2.197,179.75
0.6,2.201,182.75
0.6,2.206,185.75
0.6,2.21,188.75
0.6,2.212,191.75
0.6,2.216,194.75
0.6,2.218,197.75
0.6,2.222,200.75
0.6,2.224,203.75
0.6,2.228,206.75
0.55,2.23,201.45
0.55,2.232,204.45
0.55,2.239,207.45
0.55,2.241,210.45
0.55,2.245,213.45
0.55,2.249,216.45
0.55,2.251,219.45
0.55,2.253,222.45
0.55,2.257,225.45
0.55,2.259,228.45
0.55,2.263,231.45
0.55,2.265,234.45
0.55,2.272,237.45
0.55,2.274,240.45
0.55,2.278,243.45
0.55,2.28,246.45
0.5,2.282,244.4
0.5,2.286,247.4
0.5,2.288,250.4
0.5,2.292,253.4
0.5,2.294,256.4
0.5,2.298,259.4
0.35,2.303,245.43
0.35,2.307,248.43
0.35,2.309,251.43
0.35,2.313,254.43
0.35,2.315,258.43
0.25,2.319,245.6
0.25,2.321,248.6
0.25,2.325,251.6
0.25,2.327,254.6
0.25,2.331,257.6
0.2,2.336,250.75
0.2,2.338,253.75
0.2,2.342,256.75
0.2,2.344,259.75
0.2,2.348,262.75
0.2,2.35,265.75
0.15,2.354,258.0
0.15,2.356,261.0
